Species	Organism_group	Class	Order	Domain	Established	Trophic_level	Adaptive_trait	Depigmented	Eye_regression	Leg_elong	Behavior	Phys_adap	Wing
Acacia mearnsii	plant	Magnoliopsida	Fabales	terrestrial	0	primary producer	0	NA	NA	NA	NA	NA	0
Acanthocyclops robustus	invertebrate	Hexanauplia	Cyclopoida	freshwater	1	omnivorous	1	1	0	0	1	0	0
Acer pseudoplatanus	plant	Magnoliopsida	Sapindales	terrestrial	0	primary producer	0	NA	NA	NA	NA	NA	0
Achatina fulica	invertebrate	Gastropoda	Stylommatophora	terrestrial	NA	herbivore	0	NA	NA	NA	NA	NA	0
Allajulus latestriatus	invertebrate	Diplopoda	Julida	terrestrial	0	detritivore	0	NA	NA	NA	NA	NA	0
Allolobophora trapezoides	invertebrate	Clitellata	Crassiclitellata	terrestrial	1	detritivore	1	1	1	0	0	0	0
Ameiurus melas	vertebrate	Actinopterygii	Siluriformes	freshwater	0	omnivorous	0	NA	NA	NA	NA	NA	0
Amynthas diffringens	invertebrate	Clitellata	Opisthopora	terrestrial	1	detritivore	1	1	1	0	0	0	0
Amynthas minimus	invertebrate	Clitellata	Opisthopora	terrestrial	1	detritivore	1	1	1	0	0	0	0
Anoplolepis gracilipes	invertebrate	Insecta	Hymenoptera	terrestrial	NA	omnivorous	0	NA	NA	NA	NA	NA	1
Aporrectodea rosea	invertebrate	Clitellata	Crassiclitellata	terrestrial	NA	detritivore	1	1	1	0	0	0	0
Aporrectodea sp.	invertebrate	Clitellata	Crassiclitellata	terrestrial	1	detritivore	1	1	1	0	0	0	0
Aporrectodea trapezoides	invertebrate	Clitellata	Crassiclitellata	terrestrial	1	detritivore	1	1	1	0	0	0	0
Aporrectodea tuberculata	invertebrate	Clitellata	Crassiclitellata	terrestrial	0	detritivore	1	1	1	0	0	0	0
Arcitalitrus dorrieni	invertebrate	Malacostraca	Amphipoda	freshwater	1	omnivorous	0	NA	NA	NA	NA	NA	0
Argyrodes argyrodes	invertebrate	Arachnida	Araneae	terrestrial	1	predator	0	NA	NA	NA	NA	NA	0
Arion circumscriptus	invertebrate	Gastropoda	Stylommatophora	terrestrial	0	omnivorous	0	NA	NA	NA	NA	NA	0
Arion subfuscus	invertebrate	Gastropoda	Stylommatophora	terrestrial	0	omnivorous	0	NA	NA	NA	NA	NA	0
Armadillidium vulgare	invertebrate	Malacostraca	Isopoda	terrestrial	1	detritivore	0	NA	NA	NA	NA	NA	0
Arrhopalites sp.	invertebrate	Entognatha	Collembola	terrestrial	1	detritivore	0	NA	NA	NA	NA	NA	0
Astyanax fasciatus	vertebrate	Actinopterygii	Characiformes	freshwater	1	omnivorous	1	1	1	0	0	0	0
Bathysciola derosasi	invertebrate	Insecta	Coleoptera	terrestrial	1	omnivorous	1	1	1	0	1	1	0
Bavia aericeps	invertebrate	Arachnida	Araneae	terrestrial	1	predator	0	NA	NA	NA	NA	NA	0
Blaniulus guttulatus	invertebrate	Diplopoda	Julida	terrestrial	NA	detritivore	1	1	1	0	0	0	0
Bocconia frutescens	plant	Magnoliopsida	Ranunculales	terrestrial	0	primary producer	0	NA	NA	NA	NA	NA	0
Brachydesmus superus	invertebrate	Diplopoda	Polydesmida	terrestrial	NA	detritivore	0	NA	NA	NA	NA	NA	0
Brathinus nitidus	invertebrate	Insecta	Coleoptera	terrestrial	1	predator	0	NA	NA	NA	NA	NA	0
Burmoniscus meeusei	invertebrate	Malacostraca	Isopoda	terrestrial	1	detritivore	0	NA	NA	NA	NA	NA	0
Caecidotea communis	invertebrate	Malacostraca	Isopoda	freshwater	1	detritivore	0	NA	NA	NA	NA	NA	0
Caenoplana coerulea	invertebrate	Rhabditophora	Tricladida	terrestrial	1	predator	0	NA	NA	NA	NA	NA	0
Cambarus tenebrosus	invertebrate	Malacostraca	Decapoda	freshwater	1	omnivorous	1	1	1	1	1	0	0
Camelus dromedarius	vertebrate	Mammalia	Artiodactyla	freshwater	0	herbivore	0	NA	NA	NA	NA	NA	0
Campodea quilisi	invertebrate	Entognatha	Diplura	terrestrial	NA	detritivore	1	1	0	1	0	0	0
Cantikus elongatus	invertebrate	Arachnida	Araneae	terrestrial	1	predator	0	NA	NA	NA	NA	NA	0
Carassius carassius	vertebrate	Actinopterygii	Cyprinodontiformes	freshwater	0	omnivorous	0	NA	NA	NA	NA	NA	0
Cenchrus ciliaris	plant	Liliopsida	Poales	freshwater	0	primary producer	0	NA	NA	NA	NA	NA	0
Ceratophysella denticulata	invertebrate	Entognatha	Collembola	terrestrial	0	detritivore	0	NA	NA	NA	NA	NA	0
Ceratophysella gibbosa	invertebrate	Entognatha	Collembola	terrestrial	NA	detritivore	0	0	0	0	0	0	0
Cercyon inquinatus	invertebrate	Insecta	Coleoptera	terrestrial	0	predator	0	NA	NA	NA	NA	NA	1
Charinus ioanniticus	invertebrate	Arachnida	Amblypygi	terrestrial	1	predator	0	NA	NA	NA	NA	NA	0
Chondromorpha kelaarti	invertebrate	Diplopoda	Polydesmida	terrestrial	1	detritivore	0	NA	NA	NA	NA	NA	0
Choneiulus subterraneus	invertebrate	Diplopoda	Julida	terrestrial	NA	detritivore	1	1	1	0	0	0	0
Chrondrodesmus kelaarti	invertebrate	Diplopoda	Polydesmida	terrestrial	1	detritivore	0	NA	NA	NA	NA	NA	0
Cimex lectularius	invertebrate	Insecta	Hemiptera	terrestrial	0	parasite	0	NA	NA	NA	NA	NA	0
Cinnamomum camphora	plant	Magnoliopsida	Laurales	terrestrial	0	primary producer	0	NA	NA	NA	NA	NA	0
Cinnamomum verum	plant	Magnoliopsida	Laurales	terrestrial	0	primary producer	0	NA	NA	NA	NA	NA	0
Clarias gariepinus	vertebrate	Actinopterygii	Siluriformes	freshwater	1	omnivorous	0	NA	NA	NA	NA	NA	0
Clogmia albipunctata	invertebrate	Insecta	Diptera	terrestrial	1	herbivore	0	NA	NA	NA	NA	NA	1
